h,r,t,score,edge_betweenness_dir,edge_degree_centrality_dir,node_degree_avg_dir,h_in_degree,h_out_degree,t_in_degree,t_out_degree,edge_betweenness_undir,edge_degree_centrality_undir,node_degree_avg_undir
behavior,associated_with,group,0.43529805541038513,53.3702567705962,87,44.5,27,17,19,26,0.0,74,38.0
cell_component,issue_in,biomedical_occupation_or_discipline,0.8810113072395325,1.1459073603036,174,88.0,12,52,110,2,0.0,163,82.5
experimental_model_of_disease,manifestation_of,molecular_function,0.6388373970985413,4.134263016760993,231,116.5,76,50,60,47,0.0,176,89.0
neuroreactive_substance_or_biogenic_amine,affects,physiologic_function,0.8587090969085693,3.0214393467448284,182,92.0,35,40,61,48,0.0,140,71.0
enzyme,complicates,organ_or_tissue_function,0.806675136089325,3.8161232066405635,188,95.0,41,37,65,47,0.0,143,72.5
anatomical_abnormality,part_of,amphibian,0.7185810804367065,6.159962575933602,165,83.5,69,51,34,13,0.0,140,71.0
embryonic_structure,issue_in,occupation_or_discipline,0.8545193672180176,2.0294117647058822,161,81.5,9,33,118,3,0.0,157,79.5
disease_or_syndrome,manifestation_of,pathologic_function,0.6188381314277649,2.082371202069344,275,138.5,79,60,77,61,0.0,198,100.0
organic_chemical,isa,entity,0.6821335554122925,1.3679651613645303,130,66.0,14,38,78,2,0.0,124,63.0
mental_or_behavioral_dysfunction,produces,immunologic_factor,0.7098157405853271,19.392367984587796,220,111.0,85,53,45,39,0.0,157,79.5
cell,location_of,bacterium,0.5752167701721191,1.5709677762847771,116,59.0,14,53,29,22,0.0,104,53.0
neoplastic_process,result_of,natural_phenomenon_or_process,0.6046667098999023,3.9469297254074234,202,102.0,80,60,43,21,0.0,147,74.5
disease_or_syndrome,affects,pathologic_function,0.6510598659515381,2.082371202069344,275,138.5,79,60,77,61,0.0,198,100.0
laboratory_procedure,measures,organ_or_tissue_function,0.8090007305145264,4.800729371973124,182,92.0,19,53,65,47,0.0,146,74.0
mental_or_behavioral_dysfunction,affects,fungus,0.6086719632148743,9.75875894562735,190,96.0,85,53,27,27,0.0,145,73.5
natural_phenomenon_or_process,issue_in,biomedical_occupation_or_discipline,0.8569841384887695,1.4651894158473104,174,88.0,43,21,110,2,0.0,154,78.0
therapeutic_or_preventive_procedure,prevents,disease_or_syndrome,0.34595987200737,13.381715436867465,193,97.5,28,28,79,60,0.0,144,73.0
mental_or_behavioral_dysfunction,affects,invertebrate,0.6253532767295837,8.87824089021701,180,91.0,85,53,28,16,0.0,136,69.0
immunologic_factor,disrupts,embryonic_structure,0.4473816454410553,15.665823690168963,124,63.0,45,39,9,33,0.0,101,51.5
receptor,causes,anatomical_abnormality,0.5072349309921265,8.14087182254695,191,96.5,38,35,69,51,0.0,155,78.5
immunologic_factor,indicates,bacterium,0.37468716502189636,3.9397818104441487,133,67.5,45,39,29,22,0.0,105,53.5
experimental_model_of_disease,result_of,biologic_function,0.7132782936096191,3.7694391371849965,228,115.0,76,50,59,45,0.0,175,88.5
self_help_or_relief_organization,location_of,research_activity,0.5021463632583618,18.21221878881426,74,38.0,2,18,11,45,0.0,73,37.5
pharmacologic_substance,isa,entity,0.8366357684135437,1.4237953730945723,136,69.0,14,44,78,2,0.0,133,67.5
pharmacologic_substance,treats,sign_or_symptom,0.2474779337644577,25.173680421768257,85,43.5,14,44,4,25,0.0,84,43.0
organic_chemical,affects,mental_process,0.8291672468185425,4.523564270355455,171,86.5,14,38,71,50,0.0,138,70.0
immunologic_factor,indicates,rickettsia_or_chlamydia,0.46346667408943176,3.196120053077227,140,71.0,45,39,32,26,0.0,112,57.0
molecular_function,produces,receptor,0.5978063941001892,7.627240097039875,178,90.0,60,47,38,35,0.0,139,70.5
cell_or_molecular_dysfunction,manifestation_of,genetic_function,0.7836433053016663,4.314443273488243,250,126.0,79,60,64,49,0.0,181,91.5
regulation_or_law,isa,intellectual_product,0.1766720563173294,2.3476244903594923,37,19.5,8,15,11,5,0.0,29,15.5
cell_function,process_of,bacterium,0.7129473090171814,5.063386484157016,162,82.0,64,49,29,22,0.0,128,65.0
nucleic_acid_nucleoside_or_nucleotide,interacts_with,pharmacologic_substance,0.5616165399551392,7.3708111452697205,108,55.0,10,42,14,44,0.0,106,54.0
human,isa,vertebrate,0.2539350092411041,4.7629166666666665,95,48.5,38,9,37,13,0.0,88,45.0
receptor,disrupts,body_part_organ_or_organ_component,0.5097142457962036,28.988317976180916,139,70.5,38,35,15,53,0.0,118,60.0
eicosanoid,isa,entity,0.6360610127449036,1.3992151613645303,130,66.0,16,36,78,2,0.0,127,64.5
amino_acid_peptide_or_protein,interacts_with,element_ion_or_isotope,0.41391056776046753,7.681592278396119,94,48.0,14,38,10,34,0.0,92,47.0
mental_process,produces,immunologic_factor,0.8043615221977234,38.843701680634894,203,102.5,71,50,45,39,0.0,152,77.0
biologically_active_substance,complicates,cell_or_molecular_dysfunction,0.8827635645866394,7.44661781279341,212,107.0,37,38,79,60,0.0,154,78.0
group_attribute,isa,conceptual_entity,0.6502232551574707,1.4503968253968254,41,21.5,3,9,28,3,0.0,40,21.0
organism_attribute,isa,conceptual_entity,0.38293054699897766,6.7784208502426715,85,43.5,21,35,28,3,0.0,76,39.0
finding,manifestation_of,neoplastic_process,0.6441630721092224,8.659383534270512,163,82.5,2,23,80,60,0.0,126,64.0
congenital_abnormality,manifestation_of,biologic_function,0.5707711577415466,3.7875257243302074,219,110.5,67,50,59,45,0.0,176,89.0
hormone,disrupts,body_part_organ_or_organ_component,0.5649783611297607,26.30130108111552,135,68.5,35,34,15,53,0.0,115,58.5
cell_component,affects,genetic_function,0.7809562683105469,1.7502083775643935,175,88.5,12,52,64,49,0.0,139,70.5
cell_component,part_of,cell,0.039960384368896484,3.013677110229474,129,65.5,12,52,14,53,0.0,114,58.0
immunologic_factor,disrupts,cell,0.5144350528717041,27.528749765453565,149,75.5,45,39,14,53,0.0,121,61.5
anatomical_structure,part_of,invertebrate,0.6628493070602417,12.395696713385647,70,36.0,10,18,28,16,0.0,67,34.5
molecular_biology_research_technique,measures,cell_or_molecular_dysfunction,0.6085909008979797,6.530151825111927,194,98.0,9,48,79,60,0.0,152,77.0
finding,evaluation_of,pathologic_function,0.8508961200714111,8.979472403012167,161,81.5,2,23,77,61,0.0,124,63.0
experimental_model_of_disease,complicates,disease_or_syndrome,0.7105777859687805,3.92593932760678,263,132.5,76,50,79,60,0.0,194,98.0
organism_attribute,manifestation_of,mental_process,0.7813624739646912,5.0983250659984085,175,88.5,21,35,71,50,0.0,138,70.0
acquired_abnormality,issue_in,occupation_or_discipline,0.8425175547599792,1.6310037096028935,237,119.5,68,50,118,3,0.0,216,109.0
diagnostic_procedure,diagnoses,injury_or_poisoning,0.6530535221099854,11.36131763672714,186,94.0,26,58,65,39,0.0,156,79.0
biologic_function,process_of,cell_or_molecular_dysfunction,0.8558444976806641,7.564869321301714,241,121.5,59,45,79,60,0.0,175,88.5
cell_or_molecular_dysfunction,manifestation_of,physiologic_function,0.661063551902771,4.2339576643446435,246,124.0,79,60,61,48,0.0,179,90.5
tissue,part_of,animal,0.8379403948783875,1.8559226498171175,117,59.5,16,53,35,15,0.0,102,52.0
neoplastic_process,result_of,social_behavior,0.4193301796913147,20.326316695169474,172,87.0,80,60,19,15,0.0,128,65.0
hazardous_or_poisonous_substance,affects,cell_or_molecular_dysfunction,0.8090026378631592,8.223066505736167,191,96.5,26,28,79,60,0.0,149,75.5
regulation_or_law,isa,entity,0.7673254013061523,1.125,101,51.5,8,15,78,2,0.0,91,46.5
organ_or_tissue_function,produces,receptor,0.5583004951477051,9.114920941680268,183,92.5,65,47,38,35,0.0,143,72.5
chemical_viewed_functionally,causes,neoplastic_process,0.7341670393943787,8.701686587618433,190,96.0,21,31,80,60,0.0,146,74.0
neoplastic_process,result_of,environmental_effect_of_humans,0.435689240694046,12.160554218640014,174,88.0,80,60,17,19,0.0,123,62.5
hormone,causes,cell_or_molecular_dysfunction,0.7943373322486877,7.855509871628812,206,104.0,35,34,79,60,0.0,152,77.0
biologically_active_substance,affects,cell_or_molecular_dysfunction,0.6943805813789368,7.44661781279341,212,107.0,37,38,79,60,0.0,154,78.0
eicosanoid,causes,pathologic_function,0.8490317463874817,7.356182853874135,188,95.0,16,36,77,61,0.0,150,76.0
reptile,exhibits,behavior,0.7341982126235962,39.58582851017262,86,44.0,33,11,27,17,0.0,76,39.0
family_group,exhibits,behavior,0.8548886775970459,4.746334357431776,86,44.0,17,27,27,17,0.0,73,37.5
clinical_attribute,result_of,experimental_model_of_disease,0.5993744730949402,6.561040199811217,185,93.5,25,36,76,50,0.0,144,73.0
therapeutic_or_preventive_procedure,treats,sign_or_symptom,0.17871713638305664,174.1302054867186,83,42.5,28,28,4,25,0.0,74,38.0
virus,location_of,biologically_active_substance,0.30432698130607605,11.332981296139593,131,66.5,34,24,37,38,0.0,106,54.0
indicator_reagent_or_diagnostic_aid,ingredient_of,clinical_drug,0.7750772833824158,2.8637640785555973,88,45.0,25,23,30,12,0.0,87,44.5
sign_or_symptom,manifestation_of,congenital_abnormality,0.8227429986000061,8.431343877907969,144,73.0,4,25,67,50,0.0,125,63.5
clinical_attribute,result_of,molecular_function,0.7649124264717102,4.704540214260847,166,84.0,25,36,60,47,0.0,128,65.0
antibiotic,causes,anatomical_abnormality,0.5453416705131531,6.560363078413341,172,87.0,15,39,69,51,0.0,148,75.0
chemical_viewed_structurally,interacts_with,vitamin,0.8187840580940247,2.647008339547819,127,64.5,13,40,39,37,0.0,106,54.0
cell_or_molecular_dysfunction,result_of,mental_process,0.9006833434104919,3.7045796793639445,258,130.0,79,60,71,50,0.0,187,94.5
body_space_or_junction,location_of,physiologic_function,0.5944676995277405,3.277774296621552,141,71.5,5,29,61,48,0.0,113,57.5
pathologic_function,process_of,amphibian,0.7249775528907776,6.527287814604742,183,92.5,77,61,34,13,0.0,144,73.0
organism_function,affects,clinical_attribute,0.42061808705329895,5.049853196656267,172,87.0,65,48,25,36,0.0,135,68.5
hormone,complicates,cell_function,0.7647748589515686,3.4897761905812716,180,91.0,35,34,64,49,0.0,140,71.0
amphibian,interacts_with,fish,0.48537611961364746,1.5958333333333337,91,46.5,34,13,35,11,0.0,87,44.5
diagnostic_procedure,measures,carbohydrate,0.6734985709190369,18.564340072153968,134,68.0,26,58,14,38,0.0,127,64.5
organ_or_tissue_function,result_of,molecular_function,0.773492157459259,1.6881170255741191,217,109.5,65,47,60,47,0.0,164,83.0
eicosanoid,interacts_with,neuroreactive_substance_or_biogenic_amine,0.5403343439102173,3.141996363656602,125,63.5,16,36,35,40,0.0,107,54.5
molecular_function,affects,mental_process,0.6900042295455933,2.6855481030937276,226,114.0,60,47,71,50,0.0,171,86.5
health_care_related_organization,produces,regulation_or_law,0.45613792538642883,7.767857142857143,39,20.5,2,16,8,15,0.0,30,16.0
pathologic_function,co-occurs_with,anatomical_abnormality,0.7160417437553406,2.7707119421180626,256,129.0,77,61,69,51,0.0,196,99.0
fish,interacts_with,reptile,0.3194229304790497,2.900472269495783,88,45.0,35,11,33,11,0.0,85,43.5
pharmacologic_substance,prevents,neoplastic_process,0.7204086780548096,6.319483783577929,196,99.0,14,44,80,60,0.0,158,80.0
physiologic_function,process_of,plant,0.663906455039978,4.070332422091852,151,76.5,61,48,24,20,0.0,126,64.0
congenital_abnormality,co-occurs_with,acquired_abnormality,0.46964031457901,2.241167450952412,233,117.5,67,50,68,50,0.0,196,99.0
animal,issue_in,occupation_or_discipline,0.900108814239502,2.112065318591171,169,85.5,35,15,118,3,0.0,161,81.5
nucleic_acid_nucleoside_or_nucleotide,interacts_with,lipid,0.44697630405426025,1.4945219617780594,105,53.5,10,42,18,37,0.0,102,52.0
acquired_abnormality,manifestation_of,mental_process,0.7949634194374084,3.871637667980548,237,119.5,68,50,71,50,0.0,190,96.0
anatomical_structure,location_of,rickettsia_or_chlamydia,0.4045620858669281,21.77233391282303,84,43.0,10,18,32,26,0.0,78,40.0
self_help_or_relief_organization,isa,organization,0.24855449795722961,1.0,38,20.0,2,18,5,15,0.0,36,19.0
cell_or_molecular_dysfunction,degree_of,experimental_model_of_disease,0.8476001620292664,1.8642680576504103,263,132.5,79,60,76,50,0.0,192,97.0
hormone,affects,organ_or_tissue_function,0.8536091446876526,3.5274939907990723,179,90.5,35,34,65,47,0.0,140,71.0
neoplastic_process,occurs_in,mental_or_behavioral_dysfunction,0.2890312671661377,1.7939906731527626,276,139.0,80,60,85,53,0.0,198,100.0
cell_function,affects,plant,0.5563404560089111,4.6764638365498765,155,78.5,64,49,24,20,0.0,127,64.5
cell_or_molecular_dysfunction,affects,vertebrate,0.8092396259307861,6.4282165124719235,187,94.5,79,60,37,13,0.0,140,71.0
family_group,issue_in,occupation_or_discipline,0.9106906056404114,1.067929739760908,163,82.5,17,27,118,3,0.0,156,79.0
clinical_attribute,property_of,animal,0.6935067176818848,3.763648158280221,109,55.5,25,36,35,15,0.0,92,47.0
disease_or_syndrome,complicates,acquired_abnormality,0.8480225205421448,3.3869456722568843,255,128.5,79,60,68,50,0.0,197,99.5
self_help_or_relief_organization,manages,patient_or_disabled_group,0.42208021879196167,10.00489417989418,62,32.0,2,18,19,25,0.0,57,29.5
injury_or_poisoning,disrupts,cell,0.6113302111625671,75.588600171396,169,85.5,65,39,14,53,0.0,139,70.5
cell_component,affects,organism_function,0.699645459651947,2.65648755985164,175,88.5,12,52,65,48,0.0,141,71.5
physiologic_function,produces,receptor,0.6353369355201721,6.485216188230354,180,91.0,61,48,38,35,0.0,142,72.0
biologically_active_substance,causes,neoplastic_process,0.6100581884384155,7.295808146317443,213,107.5,37,38,80,60,0.0,160,81.0
mental_process,result_of,environmental_effect_of_humans,0.4469113349914551,16.937983924997802,155,78.5,71,50,17,19,0.0,112,57.0
antibiotic,treats,injury_or_poisoning,0.6579853892326355,5.558221073226468,156,79.0,15,39,65,39,0.0,131,66.5
biologic_function,process_of,experimental_model_of_disease,0.8504890203475952,4.322632356943298,228,115.0,59,45,76,50,0.0,175,88.5
lipid,interacts_with,chemical,0.7616099715232849,2.0977391354212593,98,50.0,18,37,27,18,0.0,96,49.0
plant,interacts_with,invertebrate,0.6156005859375,5.824635279208672,86,44.0,24,20,28,16,0.0,83,42.5
organization,produces,classification,0.506013035774231,2.177777777777778,29,15.5,5,15,9,2,0.0,28,15.0
physiologic_function,process_of,genetic_function,0.719679057598114,1.4933823522120127,220,111.0,61,48,64,49,0.0,168,85.0
virus,causes,disease_or_syndrome,0.7917477488517761,21.019043667652085,195,98.5,34,24,79,60,0.0,146,74.0
molecular_function,affects,natural_phenomenon_or_process,0.6266939640045166,2.1511540820176824,169,85.5,60,47,43,21,0.0,125,63.5
sign_or_symptom,manifestation_of,biologic_function,0.7267360687255859,3.576036377948742,131,66.5,4,25,59,45,0.0,107,54.5
laboratory_procedure,assesses_effect_of,molecular_function,0.5240912437438965,5.262734314877075,177,89.5,19,53,60,47,0.0,142,72.0
therapeutic_or_preventive_procedure,method_of,occupation_or_discipline,0.6012553572654724,1.9254829312502693,175,88.5,28,28,118,3,0.0,163,82.5
animal,interacts_with,fish,0.6313554644584656,3.542857142857143,94,48.0,35,15,35,11,0.0,87,44.5
body_part_organ_or_organ_component,isa,physical_object,0.7952306866645813,1.4294164668265388,123,62.5,15,53,56,1,0.0,115,58.5
genetic_function,process_of,natural_phenomenon_or_process,0.766735315322876,2.1774923271059277,175,88.5,64,49,43,21,0.0,130,66.0
plant,interacts_with,organism,0.8818880319595337,1.0697115384615385,86,44.0,24,20,41,3,0.0,86,44.0
gene_or_genome,location_of,fungus,0.3768503665924072,2.209669049601967,113,57.5,11,50,27,27,0.0,103,52.5
physiologic_function,process_of,cell_or_molecular_dysfunction,0.8771761059761047,6.962171921684971,246,124.0,61,48,79,60,0.0,179,90.5
sign_or_symptom,evaluation_of,molecular_function,0.8126420378684998,3.5406148905131882,134,68.0,4,25,60,47,0.0,108,55.0
disease_or_syndrome,process_of,biologic_function,0.5815249681472778,3.8138739893984863,241,121.5,79,60,59,45,0.0,177,89.5
laboratory_or_test_result,measurement_of,chemical_viewed_structurally,0.3566431701183319,1.5177472527472529,98,50.0,0,47,13,40,0.0,91,46.5
organ_or_tissue_function,affects,bacterium,0.718807578086853,5.321215548278468,161,81.5,65,47,29,22,0.0,128,65.0
mental_or_behavioral_dysfunction,occurs_in,age_group,0.5122183561325073,35.900766892561855,175,88.5,85,53,15,24,0.0,132,67.0
cell_or_molecular_dysfunction,precedes,mental_or_behavioral_dysfunction,0.583628237247467,1.6110027771792477,275,138.5,79,60,85,53,0.0,192,97.0
spatial_concept,issue_in,biomedical_occupation_or_discipline,0.8265253305435181,1.3083333333333333,123,62.5,8,5,110,2,0.0,121,61.5
immunologic_factor,complicates,congenital_abnormality,0.7584960460662842,8.313810590651052,199,100.5,45,39,67,50,0.0,158,80.0
finding,manifestation_of,injury_or_poisoning,0.6355425119400024,15.56251803776586,127,64.5,2,23,65,39,0.0,103,52.5
rickettsia_or_chlamydia,causes,mental_or_behavioral_dysfunction,0.8578516840934753,16.55777010972053,194,98.0,32,26,85,53,0.0,147,74.5
disease_or_syndrome,manifestation_of,mental_process,0.8874707818031311,3.538194677207937,258,130.0,79,60,71,50,0.0,189,95.5
body_substance,consists_of,lipid,0.5199527740478516,33.983526498449685,106,54.0,26,27,18,37,0.0,96,49.0
neoplastic_process,complicates,acquired_abnormality,0.7761927247047424,3.0385151801192984,256,129.0,80,60,68,50,0.0,201,101.5
laboratory_procedure,measures,immunologic_factor,0.886786162853241,6.490961380802787,154,78.0,19,53,45,39,0.0,123,62.5
molecular_biology_research_technique,associated_with,anatomical_abnormality,0.9167899489402771,7.08724044603023,175,88.5,9,48,69,51,0.0,152,77.0
cell,location_of,cell_or_molecular_dysfunction,0.8841069340705872,4.964248337248548,204,103.0,14,53,79,60,0.0,156,79.0
disease_or_syndrome,process_of,bacterium,0.7316768169403076,7.606991636597333,188,95.0,79,60,29,22,0.0,142,72.0
patient_or_disabled_group,performs,activity,0.5255850553512573,6.83444946193782,62,32.0,19,25,17,3,0.0,58,30.0
intellectual_product,conceptual_part_of,diagnostic_procedure,0.1076740175485611,128.45659884933386,98,50.0,11,5,26,58,0.0,92,47.0
organism_function,result_of,organ_or_tissue_function,0.7873488068580627,1.324291031549096,223,112.5,65,48,65,47,0.0,171,86.5
population_group,performs,occupational_activity,0.7356054782867432,13.854138541812976,78,40.0,15,37,17,11,0.0,65,33.5
disease_or_syndrome,degree_of,neoplastic_process,0.39336612820625305,2.279959249145883,277,139.5,79,60,80,60,0.0,200,101.0
diagnostic_procedure,analyzes,chemical,0.7981260418891907,15.346351510009084,127,64.5,26,58,27,18,0.0,121,61.5
cell_function,affects,natural_phenomenon_or_process,0.6095371842384338,2.3867683452054753,175,88.5,64,49,43,21,0.0,129,65.5
amphibian,isa,animal,0.33920320868492126,4.785705449521239,95,48.5,34,13,35,15,0.0,88,45.0
eicosanoid,affects,cell_or_molecular_dysfunction,0.5894917845726013,7.239151249147345,189,95.5,16,36,79,60,0.0,146,74.0
clinical_attribute,result_of,environmental_effect_of_humans,0.47888192534446716,5.506907592293881,95,48.5,25,36,17,19,0.0,69,35.5
biologic_function,process_of,disease_or_syndrome,0.7764878869056702,7.86815495302346,241,121.5,59,45,79,60,0.0,177,89.5
tissue,produces,receptor,0.33806028962135315,2.7960681255146236,140,71.0,16,53,38,35,0.0,117,59.5
chemical_viewed_functionally,isa,substance,0.6748444437980652,2.288278538734036,85,43.5,21,31,24,11,0.0,78,40.0
neuroreactive_substance_or_biogenic_amine,affects,experimental_model_of_disease,0.7688760161399841,4.697451327008917,199,100.5,35,40,76,50,0.0,153,77.5
enzyme,complicates,anatomical_abnormality,0.7858197689056396,8.446953520859429,196,99.0,41,37,69,51,0.0,155,78.5
hazardous_or_poisonous_substance,affects,pathologic_function,0.8453479409217834,8.110438583985093,190,96.0,26,28,77,61,0.0,153,77.5
laboratory_procedure,diagnoses,disease_or_syndrome,0.7060704231262207,6.671807268207725,209,105.5,19,53,79,60,0.0,160,81.0
anatomical_abnormality,location_of,cell_or_molecular_dysfunction,0.6772750020027161,2.883935498475934,257,129.5,69,51,79,60,0.0,192,97.0
neoplastic_process,manifestation_of,organism_function,0.7731882929801941,3.1163145867811664,251,126.5,80,60,65,48,0.0,189,95.5
congenital_abnormality,affects,archaeon,0.750881016254425,6.563263943131758,154,78.0,67,50,34,5,0.0,135,68.5
biologic_function,affects,vertebrate,0.8081839680671692,4.113000909027796,152,77.0,59,45,37,13,0.0,123,62.5
cell_component,location_of,organism_function,0.6047906279563904,2.65648755985164,175,88.5,12,52,65,48,0.0,141,71.5
immunologic_factor,affects,natural_phenomenon_or_process,0.5984399318695068,2.506964989075362,146,74.0,45,39,43,21,0.0,106,54.0
gene_or_genome,produces,biologically_active_substance,0.6924716234207153,4.426523616853377,134,68.0,11,50,37,38,0.0,112,57.0
element_ion_or_isotope,causes,experimental_model_of_disease,0.8650516867637634,5.054033397743223,168,85.0,10,34,76,50,0.0,138,70.0
cell_function,result_of,human_caused_phenomenon_or_process,0.38838616013526917,6.909201543483344,141,71.5,64,49,14,16,0.0,103,52.5
experimental_model_of_disease,result_of,organ_or_tissue_function,0.7093199491500854,4.129240289472674,236,119.0,76,50,65,47,0.0,180,91.0
research_activity,measures,chemical,0.6481518149375916,6.004265385899618,99,50.5,11,45,27,18,0.0,99,50.5
mental_process,process_of,organism_function,0.7356531023979187,11.408466224716978,232,117.0,71,50,65,48,0.0,178,90.0
antibiotic,diagnoses,experimental_model_of_disease,0.5428799986839294,4.747450286249768,178,90.0,15,39,76,50,0.0,148,75.0
geographic_area,associated_with,anatomical_abnormality,0.5881543755531311,14.229887186766998,134,68.0,3,13,69,51,0.0,111,56.5
tissue,location_of,bacterium,0.47601020336151123,1.623188373561695,118,60.0,16,53,29,22,0.0,102,52.0
disease_or_syndrome,result_of,environmental_effect_of_humans,0.3581220507621765,12.623414791453438,173,87.5,79,60,17,19,0.0,119,60.5
injury_or_poisoning,result_of,behavior,0.5396836400032043,16.039381838239294,146,74.0,65,39,27,17,0.0,113,57.5
clinical_attribute,isa,entity,0.7758809924125671,1.9551449176205555,139,70.5,25,36,78,2,0.0,125,63.5
congenital_abnormality,isa,anatomical_abnormality,0.13128437101840973,1.7397013714520653,235,118.5,67,50,69,51,0.0,193,97.5
cell_or_molecular_dysfunction,complicates,congenital_abnormality,0.8881641030311584,3.126427437519132,254,128.0,79,60,67,50,0.0,193,97.5
body_substance,consists_of,organophosphorus_compound,0.39649537205696106,34.42697876049556,103,52.5,26,27,14,38,0.0,94,48.0
mental_process,affects,cell_or_molecular_dysfunction,0.7668059468269348,27.42587594022676,258,130.0,71,50,79,60,0.0,187,94.5
professional_society,carries_out,molecular_biology_research_technique,0.508259117603302,24.667445006516747,71,36.5,2,14,9,48,0.0,70,36.0
organophosphorus_compound,interacts_with,indicator_reagent_or_diagnostic_aid,0.7260384559631348,2.0681203709833724,98,50.0,14,38,25,23,0.0,96,49.0
